Reward,Total Success,Total Congestion,N_Average Delay,Total Average Delay,Mean Slot Energy,Backoff Indicator
-1.6399307521495246,0.89868,0.3395591730931662,0.10060289682729129,123.63907063693416,672.80648,20,10
-1.4013710942884654,0.98674,0.08975440380400447,0.3270865003277412,41.53148752457587,426.32303,14,2
-1.927846073430681,0.5991,0.5627827302886457,0.18842720835383836,1632.7633116341178,293.9124,271,32
-1.7385380403398192,0.81326,0.45474723259544436,0.27386092134175194,429.16068661928534,358.05257,301,2
-1.9302483732788938,0.611,0.5506493198920522,0.18863025953860552,1635.4476268412438,300.02579,242,34
-1.7594694640894435,0.58542,0.5248239274813812,0.09611723254457244,451.9304772641864,347.7999,143,8
-1.7621295460227333,0.75632,0.49614729755965986,0.2649492780763717,519.0788819547281,336.47911,380,2
-1.600330976423491,0.9655,0.27719644359895157,0.0818998856785538,82.11040911444847,801.17131,10,12
-1.7381694587435084,0.81568,0.45139964206656513,0.275212277488317,428.44235484503724,358.19251,301,2
-1.4008022992835032,0.98544,0.09011613856728809,0.32681983005905346,41.51148725442442,424.68837,14,2
-1.3774372663641508,0.98034,0.0843291019783367,0.30675241922870466,35.40514515372218,424.32474,10,2
-1.7483510639773305,0.79332,0.47069805006622545,0.2701617417825497,464.1176826501286,349.87051,330,2
-1.48128606234782,0.99456,0.13637315395059624,0.3092939878654048,71.12644787644787,426.72354,34,2
-1.9384400118505094,0.63208,0.5363011838032274,0.18658001523105128,1660.7699341855462,315.35809,182,14
-1.5716908458348335,0.99736,0.2139401925638466,0.3022496724687012,130.34362717574396,425.25578,74,2
-1.377083243143697,0.9813,0.0817285341676424,0.3074951594823182,35.44970956893916,422.99258,10,2
-1.377478055445891,0.98064,0.08622216487904931,0.3074862674715807,35.449176048294994,423.98013,10,2
-1.8504609897543411,0.54874,0.5730485574314436,0.11809690244179767,991.8899296570324,282.77166,311,8
-1.8178471096721456,0.5424,0.5648873832340878,0.10590205590205325,781.0833333333334,288.67271,271,8
-1.9640135079625194,0.69602,0.49778893553047915,0.20128817636129825,1805.4454469699147,354.87496,103,26
-1.377349095727774,0.98092,0.08485060182027683,0.3077654990553072,35.465929943318514,423.47607,10,2
-1.3772308013681132,0.98054,0.08484743384744292,0.3077776871247803,35.466661227486895,423.06761,10,2
-1.9538095231429173,0.6689,0.5085386045652828,0.19468106856211928,1733.1136193750935,340.89278,123,30
-1.377771201789264,0.97898,0.08444069258556372,0.30876865036398377,35.52611902183906,423.5983,10,2
-1.7389863338392484,0.65988,0.44950219063578073,0.05601347431134736,213.0471600897133,669.90353,14,26
-1.9516853228280011,0.66302,0.5131603530323221,0.19640346736764894,1730.6202527827215,335.61372,133,24
-1.3774342304587228,0.98042,0.08607591101707919,0.3075620652373502,35.45372391424083,423.76417,10,2
-1.6240234751491633,0.99718,0.2717867208474722,0.29679872679551833,186.17527427345112,421.00642,113,2
-1.937047235232038,0.624,0.538299265908723,0.19243729827864303,1668.1120192307692,309.76886,202,24
-1.9330388659351665,0.61564,0.5384199819327506,0.18499778116160806,1649.6054187512182,303.72354,222,38
-1.3779341002614545,0.9804,0.08411067512122684,0.30789813681490547,35.47388820889433,424.92404,10,2
-1.7372874841713486,0.71568,0.4184366541307785,0.0560878313358352,178.25251509054326,814.00197,10,28
-1.8111412100278126,0.57538,0.5127403311617643,0.08448510763305626,621.490945114533,353.60394,93,14
-1.7209971246516187,0.72996,0.41122639907429787,0.05468866293832921,159.73741026905583,821.33464,10,26
-1.3774828188112378,0.98074,0.08487868766290603,0.30720170483512615,35.43210229010747,424.21102,10,2
-1.9485493762566097,0.6493,0.5207133486143611,0.1964159822939995,1728.765285692284,326.75823,153,32
-1.9239865515144938,0.5873,0.5661467708788223,0.18420799122299059,1620.5305635961179,286.85431,311,22
-1.9745173886846255,0.72762,0.47659903306711526,0.20047370015793187,1725.0359253456475,404.46696,54,24
-1.7476308680773436,0.7911,0.4711757394993026,0.2689990341949926,462.193401592719,349.29065,330,2
-1.6571396832218626,0.93096,0.33493722249098745,0.1834073694069731,199.49033255993814,474.92651,74,4
-1.7411122663169074,0.80888,0.45631268517111073,0.27461211397642526,439.9026555236871,354.55001,311,2
-1.7438100016510178,0.71282,0.42114770451529393,0.056672893113945716,185.03512808282596,817.54709,10,28
-1.571685733697467,0.99756,0.2150650797749679,0.30315676918352313,130.68378844380288,424.17688,74,2
-1.7419618370375816,0.80292,0.4642683580511654,0.2732914378647202,440.6017286902805,354.9684,311,2
-1.377529248263631,0.981,0.08347585469247963,0.3085083248385986,35.51049949031601,423.47536,10,2
-1.5539489640096682,0.99702,0.1972890593597711,0.3036414669561029,115.68347676074703,425.88949,64,2
-1.377253465500536,0.98078,0.08411225483650794,0.307488257645273,35.449295458716534,423.37699,10,2
-1.6453470484417645,0.97896,0.3027621637520381,0.29622663832102786,215.47184767508375,415.56139,133,2
